URL,Title,Address
https://orlando.craigslist.org/sec/d/high-end-class-licensed/6247253869.html,High End Class D Licensed Security Officers Needed {Second Shift},Orlando
https://orlando.craigslist.org/sec/d/full-time-security-positions/6247111735.html,Full time Security positions,Orlando
https://orlando.craigslist.org/sec/d/security-officer-licensed/6245147160.html,Security Officer/G Licensed Armed Guards,
https://orlando.craigslist.org/sec/d/security-training-and-help/6244934930.html,Security Training and help with Job Placement,144 S. Semoran Blvd
https://orlando.craigslist.org/sec/d/private-investigator/6244923861.html,Private Investigator/Surveillance PART-TIME (FL),Florida
https://orlando.craigslist.org/sec/d/dunbar-armored-hiring-driver/6244174215.html,Dunbar Armored- Hiring Driver/Guards! (Orlando),
https://orlando.craigslist.org/sec/d/armed-protection-and-patrols/6243807814.html,"Armed Protection and Patrols Officers, Full time!",Orlando
https://orlando.craigslist.org/sec/d/needed-security-officers-job/6243794966.html,"Needed Security Officers, JOB FAIR, Tuesday 1-Aug",orlando
https://orlando.craigslist.org/sec/d/security-officer-jobs-orlando/6243391038.html,Security Officer Jobs - Orlando - Multiple Positions - FT & PT,Orlando
https://orlando.craigslist.org/sec/d/security-position/6242781159.html,Security Position,Orlando/Kissimmee
https://orlando.craigslist.org/sec/d/security-officer-immediate/6241774741.html,Security Officer Immediate Hire!,"Orlando,Mellbourn Fl"
https://orlando.craigslist.org/sec/d/high-end-class-licensed/6240478168.html,High End Class Licensed Security Officers Needed {First Shift},Orlando
https://orlando.craigslist.org/sec/d/job-fair-for-security/6239352995.html,"JOB FAIR for Security Officers Tuesday, 1-Aug @ 9:00 am to 12:00 pm",Orlando
https://orlando.craigslist.org/sec/d/security-officer-jobs-orlando/6239263770.html,Security Officer Jobs - Orlando - Multiple Positions - FT & PT,Orlando
https://spacecoast.craigslist.org/sec/d/armed-security-officer/6280497929.html,Armed Security Officer,
https://spacecoast.craigslist.org/sec/d/access-control-officer/6279535979.html,Access Control Officer,
https://spacecoast.craigslist.org/sec/d/ft-upscale-armed-valet/6279155855.html,"FT Upscale, Armed, Valet Security Officers, Melbourne",
https://spacecoast.craigslist.org/sec/d/sunday-funday-make-an-extra/6278320798.html,Sunday FUNDAY!!!! Make an Extra 5K a year working on Sundays,
https://spacecoast.craigslist.org/sec/d/security-positions-available/6276780806.html,Security Positions Available,
https://spacecoast.craigslist.org/sec/d/ft-upscale-armed-valet/6276764274.html,"FT Upscale, Armed, Valet Security Officers, Melbourne",
https://spacecoast.craigslist.org/sec/d/maritime-security-officers/6276643257.html,MARITIME SECURITY OFFICERS FOR PORT CANAVERAL,
https://spacecoast.craigslist.org/sec/d/medical-marijuana-budtenders/6273430335.html,"✚ Medical Marijuana Budtenders, Trimmers & Growers. ✚",
https://lakeland.craigslist.org/sec/d/security-guards-needed-asap/6277997786.html,Security Guards Needed ASAP,
https://lakeland.craigslist.org/sec/d/hotel-security-officer-needed/6277923048.html,Hotel Security Officer Needed,
https://lakeland.craigslist.org/sec/d/security-officer-healthcare/6272061963.html,Security Officer - Healthcare Security,
https://lakeland.craigslist.org/sec/d/full-time-unarmed-security/6270051751.html,Full Time Unarmed Security Officer Needed ASAP!,
https://lakeland.craigslist.org/sec/d/12-hr-full-time-position/6269360932.html,$12/hr FULL TIME position available!,
https://daytona.craigslist.org/sec/d/security-officer-needed/6278090825.html,SECURITY OFFICER NEEDED IMMEDIATELY FOR NEW SMYRNA,
https://daytona.craigslist.org/sec/d/immediate-openings-license/6273769214.html,"Immediate Openings, D License, Daytona & Deland",
https://daytona.craigslist.org/sec/d/now-hiring-security-officers/6273464770.html,NOW HIRING SECURITY OFFICERS - START IMMEDIATELY,
https://daytona.craigslist.org/sec/d/medical-marijuana-budtenders/6273431169.html,"✚ Medical Marijuana Budtenders, Trimmers & Growers. ✚",
https://daytona.craigslist.org/sec/d/now-hiring-security-officers/6272975539.html,NOW HIRING SECURITY OFFICERS FT/PT,
https://ocala.craigslist.org/sec/d/security-officer-classes/6279621144.html,SECURITY OFFICER CLASSES,
https://ocala.craigslist.org/sec/d/security-officer-night/6279548515.html,"Security Officer Night Classes offered in Leesburg, FL",
https://ocala.craigslist.org/sec/d/armed-security-officer/6273453817.html,Armed Security Officer,
https://cfl.craigslist.org/sec/d/12-hr-hardee-county/6269358851.html,$12/hr Hardee County,
https://tampa.craigslist.org/hil/sec/d/security-license-training-job/6282560369.html,Security license training & job placement assist!Live Scan Fingerprint,
https://tampa.craigslist.org/hil/sec/d/armed-protection-officers/6282557545.html,"Armed Protection Officers, Patrol Officers, School Protection Officers",
https://tampa.craigslist.org/hdo/sec/d/security-officers-hospital/6279380241.html,Security Officers- Hospital  $10.75 per hour,
https://tampa.craigslist.org/hil/sec/d/regional-command-center/6278789789.html,"Regional Command Center Operator (Tampa, FL)",
https://tampa.craigslist.org/pnl/sec/d/security-officer-dcurrent/6278219279.html,"Security Officer ""D""CURRENT License Required",
https://tampa.craigslist.org/hil/sec/d/security-and-armed-guard/6277194066.html,Security and armed guard classes,
https://tampa.craigslist.org/hil/sec/d/seeking-maritime-security/6276650139.html,SEEKING MARITIME SECURITY OFFICERS FOR PORT OF TAMPA,
https://tampa.craigslist.org/pnl/sec/d/security-officers-now-hiring/6276350402.html,Security Officers Now Hiring  S.Pasadena and N  St Pete Patrol Officer,
https://tampa.craigslist.org/hil/sec/d/event-security-20-events-12-hr/6274000222.html,Event Security - 20+ events $12/hr,
https://tampa.craigslist.org/pnl/sec/d/landscaping-helper-needed-for/6273473143.html,LANDSCAPING HELPER NEEDED FOR BEACH RESORTS!,
https://tampa.craigslist.org/hil/sec/d/armed-protection-officers/6273436002.html,"Armed Protection Officers, Patrol Officers, School Protection Officers",
https://tampa.craigslist.org/pnl/sec/d/restaurant-bar-security/6270424906.html,Restaurant/Bar Security/Customer Relations,
https://tampa.craigslist.org/hil/sec/d/5-pt-ft-security-officers/6270201321.html,5 PT/FT Security Officers Needed,
https://tampa.craigslist.org/hil/sec/d/licensed-security-officer/6270046844.html,licensed security officer,
